Day,shervin_notes,shervin_rating_old,shervin_rating,caitlin_notes,caitlin_rating,name,origin,process,varietal,varietal_type,agtron,onyx_notes,taster_notes,onyx_box_price,onyx_green_price,cup_score
1,"Durian, guava, white tea, cantaloupe rind. ",7.5,8.5,"Durian, guava, white tea, cantaloupe rind. ",6,Framily,Ethiopia,Washed,Landrace,single,70.4,Baked Apple | Earl Grey | Baker's Chocolate | Berries,"Loads of florals, juicy stonefruit",25,5.2,87
2,"Milk chocolate (very milky), smores",5.5,5.5,"Milk chocolate (very milky), smores",5.5,Mexico José Arguello Natural,Mexico,Natural,Bourbon,single,76,Strawberry | Wine | Dark Chocolate | Lime,"Sweet fruit up front, Rich chocolate, nutty base",NA,6.25,86.5
3,"Green apple, bubble gum, Matcha green tea, lemongrass",6.5,7,"Green apple, bubble gum, Matcha green tea, lemongrass",7.5,Ethiopia Habtamu Fekadu Aga,Ethiopia,Washed,"Kurume, Dega, Wolisho",mixed,73.6,Jasmine | Apricot | Honey | Tea-Like,"Sweet, tea like flavors, stonefruit",24,4,87
4,"Bergamot, black tea, whole roasted cocao bean, prune. Dry mouthfeel. Wet fingerfeel.",6,6.5,Indistinct nuts and spices with a hint of vanilla and the ghost of apple,6,Kenya Gichathaini AA,Kenya,Washed,"SL28, SL34, Ruiti 11, Batian",mixed,75.6,Grapefruit | Plum | Sugar Cane | Juicy,"Citrus, Grapefruit, black currant, blackberries",NA,5.18,88
5,"Roasted senmacha tea, raspberry, sorrel aka tasty clover",7,8,"Vegetal notes like a pile of Alfalfa or lemongrass, lemon rind, hint of tart cherry",5,Guatemala El Socorro Maracaturra,Guatemala,Washed,Maracaturra,single,77.6,Chamomile | Raw Sugar | Apple | White Flower,"Sweet cherry, Malic Acidity, Red Apple, Honeysuckle, Hazelnut finish",26,6.5,87
6,"Plum, crisp green apple, tomato, nutmeg, agave. Sweet and savory with a hint of spice",6.25,6.5,"Sour fermented grapes at the start, cools to chocolate covered strawberries or maybe strawberries and cream, sweet fruit",6,El Salvador Santa Rosa Honey,El Salvador,Honey,Pacamarra,single,75,Concord Grape | Demerara Sugar | Rose | Dark Chocolate,"Yellow Pineapple, orange peach, red cherry, strawberry",24,6.5,87.2
7,"Black cherry, rose, berry compote. Tastes roasty and red-fruity",6,6.5,"Candy cane, mint,vegetal",4,Ethiopia Bekele Kachara Natural,Ethiopia,Natural,Landrace,single,74,Mixed Berries | Jasmine | Plum | Pineapple,"Floral and sweet aroma. Strawberry, peach jam, black tea",NA,,
8,"Lilac, Hibiscus, raspberry, kumquat. Sweet floral to start, moving into tart as it cooled",7,8,"Sweet fruit, maybe a honey peach. Bright mixed berry notes as it cools.",8,Costa Rica Las Lajas Natural,Costa Rica,Natural,"Catuai, Caturra, Bourbon",mixed,71.6,Concord Grape | Vanilla | Pomegranate | 60% Dark Chocolate,"Juicy, Black Currant, dark cherry, red berries. Floral berry",26,6.1,87
9,"Cherry, Honeysuckle, white grape, meringue",6.75,7.5,"Molasses, sweet corn, papaya",7,Colombia Jairo Arcila Pink Bourbon,Colombia,Washed,Pink Bourbon,single,73,Blood Orange | Confectioners Sugar | White Grape | Citrus,"Beautiful notes, acidities",NA,7.25,88
10,"Cream, Milk chocolate, white button mushroom, hint of hazelnut. Has a sweetness like full fat cream",6,6.5,"Black tea but like Lipton's bottom shelf tea, chocolate and hints of an extremely dried fruit.  ",4,Ethiopia Chelbesa,Ethiopia,Washed,Landrace,single,73.5,Apricot | Honeysuckle | Earl Grey | Cocoa,"Sweet, honey, peach, floral, citrus",,4.95,87
